Designator,Mid X,Mid Y,Rotation,Layer
C1,176.0,-63.0,270.0,bottom
C2,172.0,-63.0,90.0,bottom
D1,164.475011,-55.974994,180.0,bottom
D2,183.475011,-55.974994,180.0,bottom
D3,164.475011,-92.974994,0.0,bottom
D4,183.825011,-92.974994,180.0,bottom
J2,174.0,-86.499994,0.0,top
J_BOTTOM1,174.000006,-95.35,90.0,top
J_LEFT1,153.15,-74.5,0.0,top
J_RIGHT1,194.85,-74.499994,0.0,top
J_TOP1,174.000016,-53.65,90.0,top
L1,174.0,-66.0,180.0,bottom
R1,170.663543,-56.598857,180.0,bottom
R5,177.500006,-91.0,0.0,bottom
S1,164.475011,-62.809994,0.0,top
S2,183.525011,-62.809994,0.0,top
S3,164.475011,-81.859994,0.0,top
S4,183.525011,-81.859994,0.0,top
SW1,161.0,-74.5,0.0,bottom
U1,174.0,-62.95,270.0,bottom
U2,174.0,-74.5,45.0,bottom
U3,185.0,-74.5,270.0,bottom
