Designator,Mid X,Mid Y,Rotation,Layer
C1,41.7472,-29.247191,90.0,bottom
C2,37.7472,-29.247191,90.0,bottom
C3,29.4972,-31.497191,180.0,bottom
C4,29.4972,-33.497191,180.0,bottom
J1,39.7472,-20.922191,180.0,bottom
J2,39.747201,-51.747188,0.0,bottom
J_BOTTOM1,39.747191,-60.597191,270.0,bottom
J_LEFT1,18.897191,-39.747191,0.0,bottom
J_RIGHT1,60.597191,-39.747191,0.0,bottom
L1,39.7472,-32.247191,180.0,bottom
R1,22.397191,-35.417191,270.0,bottom
R2,33.7472,-28.247191,90.0,bottom
R3,45.7472,-28.247191,90.0,bottom
R4,47.7472,-35.747191,90.0,bottom
R5,43.7472,-56.247191,0.0,bottom
SW1,26.7472,-39.747188,0.0,bottom
U1,39.747209,-29.197196,270.0,bottom
U2,39.747201,-39.747192,315.0,bottom
U3,50.7472,-39.747188,270.0,bottom
